Ship_Name,Mnemonic_Both,Mnemmonic_Fleet,Mnemonic_Ship,EFK_Type,Deck_No,Department,Area,Location,Install_Date,Type_UVT,Count Type
Ambience,ACLX-ENCE,ACLX,ENCE,Mantis 1 x 2,6,Galley,Galley,Corridor, ,STD,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Starkey 3 (15W),5,Galley,Plate Wash,Entrance, ,STD,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Starkey 3 (15w),4,Provisions,Loading Area,Shell Door PORT, ,STD,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Starkey 3 (15w),4,Provisions,Loading Area,Shell Door STBD, ,STD,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Starkey 3 (15w),4,Provisions,Butchers,Entrance, ,STD,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Ecolab uplighter,14,Bars,Dome Bar,Corridor PORT, ,STD,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Starkey 3 (15w),2,Bars,Crew Bar,DJ Entrance, ,STD,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Mantis 1 x 2,2,Bars,Crew Bar,Pantry Entance, ,STD,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Ecolab uplighter,12,Restaurant,Borough Market,Bulk Head PORT, ,STD,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Ecolab uplighter,12,Restaurant,Borough Market,Bulk Head STBD, ,STD,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Ecolab uplighter,12,Restaurant,Sugar Bar,Bulk Head STBD, ,STD,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Ecolab uplighter,12,Restaurant,Sugar Bar,Bulk Head PORT, ,STD,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Ecolab uplighter,12,Restaurant,Graze N Grains,Pantry Entance, ,STD,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Starkey 2 (15w),5,Restaurant,Crew Mess,Bulk Head PORT, ,STD,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Starkey 3 (15w),5,Restaurant,Crew Mess,Bulk Head STBD, ,STD,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Starkey 2 (15w),5,Restaurant,Staff Mess,Emergency Door, ,STD,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Starkey 2 (15w),4,Deck,Incinerator,Entrance, ,STD,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Ecolab Uplighter,4,Deck,Incinerator,Bulk Head PORT, ,STD,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Starkey 3 (15W),4,Deck,Incinerator,Compactor, ,STD,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Starkey 3 (15W),4,Deck,Incinerator,Fridge Bulkhead, ,STD,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Starkey 3 (15W),4,Deck,Incinerator,Garbage Chute, ,STD,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Ecolab Uplighter,3,Housekeeping,Stair Kilo,FSD No. 3.26, ,STD,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Mantis 1 x 2,4,Technical,Pantry,Entrance, ,STD,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Starkey 2 (15w),4,Technical,Pantry,Changing Room, ,STD,QRC
Ambition,ACLX-TION,ACLX,TION,GLU-80 (LED),11,Restaurant,Borough Market,Stbd Aft Door,Jul-24,LED,QRC
Ambition,ACLX-TION,ACLX,TION,GLU-80 (LED),11,Restaurant,Borough Market,Port Aft Door,Jul-24,LED,QRC
Ambition,ACLX-TION,ACLX,TION,GLU-80 (LED),11,Restaurant,Borough Market,Stbd Next to Juice Stn,Jul-24,LED,QRC
Ambition,ACLX-TION,ACLX,TION,GLU-80 (LED),11,Restaurant,Borough Market,Port Aft Coffee Stn,Jul-24,LED,QRC
Ambition,ACLX-TION,ACLX,TION,GLU-80 (LED),11,Galley,Borough Market,Port Bins,Jul-24,LED,QRC
Ambition,ACLX-TION,ACLX,TION,GLU-80 (LED),11,Galley,Borough Market,Biodigester,Jul-24,LED,QRC
Ambition,ACLX-TION,ACLX,TION,GLU-80 (LED),11,Galley,Pool Grill,LHS Waiter Station,Jul-24,LED,QRC
Ambition,ACLX-TION,ACLX,TION,GLU-80 (LED),11,Galley,Lupinos Galley,Fire Exit 04.04.01,Jul-24,LED,QRC
Ambition,ACLX-TION,ACLX,TION,GLU-80 (LED),6,Galley,Crew Corridor,STBD Opposite Galley Entrance,Jul-24,LED,QRC
Ambition,ACLX-TION,ACLX,TION,GLU-80 (LED),6,Galley,Holyrood Galley,PORT Bins,Jul-24,LED,QRC
Ambition,ACLX-TION,ACLX,TION,GLU-80 (LED),5,Galley,Crew Corridor,PORT Side,Jul-24,LED,QRC
Ambition,ACLX-TION,ACLX,TION,GLU-80 (LED),5,Galley,Crew Corridor,STBD Side,Jul-24,LED,QRC
Ambition,ACLX-TION,ACLX,TION,Vanquish (LED),5,Galley,Pastry,Bins,Jul-24,LED,QRC
Ambition,ACLX-TION,ACLX,TION,GLU-80 (LED),5,Galley,Chef's Office,Above Window,Jul-24,LED,QRC
