Ship_Name,Mnemonic_All,Mnemonic_Fleet,Mnemonic_Ship,Dept_Name,Trap_Type,Deck_No,Area,Location,Location_Trap,Count_Type
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,12,Borough Market Galley,Dish Wash,Cabinet,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,12,Borough Market Galley,Dish Wash,Dish Washer,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,12,Borough Market Galley,Dish Wash,Dirty Landing Table,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,12,Borough Market Galley,Hot Section,Deep Fat Fryer,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,12,Borough Market Galley,Hot Section,Ice Machine (Rear),QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,12,Borough Market Galley,Buffet Pantry,Bain Marie,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,12,Borough Market Galley,Grill,Fryer (Tech Space),QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,12,Borough Market Galley,Grill,Oven,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,S,12,Sea & Grass Galley,Service Area,Dirty Landing,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,S,12,Sea & Grass Galley,Pantry,Pot Wash (Counter),QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,S,12,Sea & Grass Galley,Pantry,Ice Machine (Rear),QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,6,Main Galley,Cold Galley,Upright Fridge 3,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,6,Main Galley,Cold Galley,Dry Shelf (Sink),QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,6,Main Galley,Cold Galley,Counter Fridge No. 7 (T/Space),QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,6,Main Galley,Cold Galley,Dry Item Cabinet,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,S,6,Main Galley,Chef Locker 1,Entrance RHS,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,S,6,Main Galley,Chef Locker 2,Entrance LHS,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,6,Main Galley,Dish Wash,Hand Wash Sink,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,6,Main Galley,Dish Wash,Dish Washer No. 1,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,6,Main Galley,Dish Wash,Biodigester,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,6,Main Galley,Dish Wash,Waiter Table (Dirty Area),QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,6,Main Galley,Bakery,Dough Roller (Rear),QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,6,Main Galley,Bakery,Shelf,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,6,Main Galley,Bakery,Bakery Oven (Rear),QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,6,Main Galley,Pastry,Oven 2 & 3 (Between),QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,6,Main Galley,Pastry,Fridge 12,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,6,Main Galley,Pastry,Fridge 8,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,6,Main Galley,Pastry,Knife Locker,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,6,Main Galley,Pot Wash,Biodigester,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,6,Main Galley,Pot Wash,Dirty Table,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,6,Main Galley,Pot Wash,Pot Washer (Rear),QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,6,Main Galley,Pot Wash,Clean Side,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,6,Main Galley,Hot Section,Rational Oven AFT (Rear),QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,6,Main Galley,Hot Section,Rational Oven 1,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,6,Main Galley,Hot Section,Hot Plate (Pasta),QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,6,Main Galley,Hot Section,Salamander,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,6,Main Galley,Hot Section,Compressor 9 (Tech Space),QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,6,Main Galley,Hot Section,Bain Marie 2,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,5,Crew Galley,Service Line,Counter Fridge,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,5,Crew Galley,Service Line,Oven 1 (Rear),QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,5,Crew Galley,Service Line,Dry Cabinate,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,5,Crew Galley,Pot Wash,Pot Wash Machine,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,5,Crew Galley,Pot Wash,Shelf PORT (Clean Side),QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,5,Crew Galley,Pot Wash,Dirty Table,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,S,5,Crew Galley,Chef Locker,Dry Shelf,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,5,Crew Galley,Dish Wash,Shelf (Clean Side),QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,5,Crew Galley,Dish Wash,Biodigester,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,4,Fish Preparation,Processing Area,Door (Behind),QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,4,Fish Preparation,Processing Area,Knife Locker,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,4,Vegetable Preparation,Processing Area,Dry Item Locker,QRC
Ambience,ACLX-ENCE,ACLX,ENCE,Galley,SS,4,Vegetable Preparation,Processing Area,Sanitising Sink,QRC
